Title,Link,SQL,Python,Power BI,Excel,Tableau,Angielski,Cloud,R
Analityk kredytowy,"https://www.pracuj.pl/praca/analityk-kredytowy-warszawa,oferta,1004537147?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,0,0,0
Kierownik/Kierowniczka Działu analiz i zakupów,"https://www.pracuj.pl/praca/kierownik-kierowniczka-dzialu-analiz-i-zakupow-kostrzyn,oferta,1004555505?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
Senior Financial Analyst,"https://www.pracuj.pl/praca/senior-financial-analyst-warszawa,oferta,1004536830?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,1,1,0,0
Ekspertka - Analityczka / Ekspert - Analityk ds. Sankcji,"https://www.pracuj.pl/praca/ekspertka-analityczka-ekspert-analityk-ds-sankcji-warszawa,oferta,1004538642?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
"Dyrektor / Dyrektorka Departamentu Systemów, Projektów i Analityki Ryzyka Kredytowego","https://www.pracuj.pl/praca/dyrektor-dyrektorka-departamentu-systemow-projektow-i-analityki-ryzyka-kredytowe-warszawa-zubra-1,oferta,1004536463?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,0,0,0
Specjalista ds. E-commerce B2C (analityka / asortyment / marketplace),"https://www.pracuj.pl/praca/specjalista-ds-e-commerce-b2c-analityka-asortyment-marketplace-lublin,oferta,1004538554?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,1,0,1,0,0
"Menadżer/Menadżerka ds. Analiz, Eventów i Digital CRM - Product Owner","https://www.pracuj.pl/praca/menadzer-menadzerka-ds-analiz-eventow-i-digital-crm-product-owner-wroclaw-legnicka-48,oferta,1004536442?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,0,0
Associate FP&A Analyst,"https://www.pracuj.pl/praca/associate-fp-a-analyst-warszawa-okopowa-58,oferta,1004536270?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,1,1,1,0
"Specjalista(-ka) ds. doświadczeń klienta (SQL, Excel, Power Bi)","https://www.pracuj.pl/praca/specjalista-ka-ds-doswiadczen-klienta-sql-excel-power-bi-lublin-naleczowska-14,oferta,1004536247?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",1,0,1,1,0,1,0,0
Analityk systemowo-biznesowy,"https://www.pracuj.pl/praca/analityk-systemowo-biznesowy-warszawa,oferta,1004537861?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,0,0,0,1,1,0
Finance Analyst,"https://www.pracuj.pl/praca/finance-analyst-katowice-aleja-rozdzienskiego-1,oferta,1004561688?s=fd093a39&searchId=MTc2Nzg2NzM2NzMxOC40Mzc1",0,0,1,1,0,1,0,0
